"2005","PUNJAB","KAPURTHALA","3"
"2005","PUNJAB","SANGRUR","3"
"2006","PUNJAB","JALANDHAR","19"
"2006","PUNJAB","PATIALA","8"
"2006","PUNJAB","FEROZPUR","7"
"2006","PUNJAB","FEROZPUR","7"
"2006","PUNJAB","LUDHIANA","6"
"2006","PUNJAB","KAPURTHALA","5"
"2006","PUNJAB","HOSHIARPUR","5"
"2006","PUNJAB","BHATINDA","5"
"2006","PUNJAB","MUKTSAR","3"
"2006","PUNJAB","KHANNA","3"
"2007","PUNJAB","JALANDHAR","14"
"2007","PUNJAB","BHATINDA","11"
"2007","PUNJAB","HOSHIARPUR","8"
"2007","PUNJAB","SANGRUR","8"
"2007","PUNJAB","KAPURTHALA","7"
"2007","PUNJAB","AMRITSAR RURAL","7"
"2007","PUNJAB","FEROZPUR","6"
"2007","PUNJAB","FEROZPUR","6"
"2007","PUNJAB","PATIALA","6"
"2007","PUNJAB","MOGA","6"
"2007","PUNJAB","LUDHIANA","6"
"2008","PUNJAB","BHATINDA","14"
"2008","PUNJAB","JALANDHAR","10"
"2008","PUNJAB","FEROZPUR","8"
"2008","PUNJAB","FEROZPUR","8"
"2008","PUNJAB","HOSHIARPUR","6"
"2008","PUNJAB","AMRITSAR RURAL","6"
"2008","PUNJAB","ROPAR","6"
"2008","PUNJAB","AMRITSAR","5"
"2008","PUNJAB","MOGA","4"
"2008","PUNJAB","MUKTSAR","3"
"2001","A & N ISLANDS","ANDAMAN","4"
"2001","MADHYA PRADESH","JHABUA","45"
"2001","GUJARAT","PALANPUR","21"
"2008","PUNJAB","FARIDKOT","3"
"2001","GUJARAT","RAJKOT RURAL","21"
"2008","PUNJAB","PATIALA","3"
"2009","PUNJAB","JALANDHAR","21"
"2001","A & N ISLANDS","NICOBAR","0"
"2002","GUJARAT","VADODARA COMMR.","334"
"2009","PUNJAB","HOSHIARPUR","12"
"2009","PUNJAB","FEROZPUR","12"
"2009","PUNJAB","FEROZPUR","12"
"2009","PUNJAB","PATIALA","12"
"2009","PUNJAB","BHATINDA","9"
"2009","PUNJAB","LUDHIANA","6"
"2002","A & N ISLANDS","ANDAMAN","2"
"2002","A & N ISLANDS","NICOBAR","0"
"2002","GUJARAT","HIMATNAGAR","309"
"2002","GUJARAT","RAJKOT COMMR.","195"
"2002","GUJARAT","VADODARA RURAL","150"
"2003","A & N ISLANDS","ANDAMAN","7"
"2001","MADHYA PRADESH","JHABUA","45"
"2002","GUJARAT","MEHSANA","88"
"2003","A & N ISLANDS","NICOBAR","1"
"2004","A & N ISLANDS","ANDAMAN","8"
"2009","PUNJAB","SBS NAGAR","4"
"2009","PUNJAB","GURDASPUR","3"
"2004","A & N ISLANDS","NICOBAR","1"
"2005","A & N ISLANDS","ANDAMAN","6"
"2009","PUNJAB","AMRITSAR","3"
"2009","PUNJAB","ROPAR","3"
"2009","PUNJAB","FARIDKOT","3"
"2009","PUNJAB","MANSA","3"
"2009","PUNJAB","BATALA","3"
"2009","PUNJAB","AMRITSAR RURAL","3"
"2002","GUJARAT","BHAVNAGAR","76"
"2001","MADHYA PRADESH","DEWAS","39"
"2001","MADHYA PRADESH","SHIVPURI","38"
"2010","PUNJAB","JALANDHAR RURAL","13"
"2010","PUNJAB","HOSHIARPUR","8"
"2002","GUJARAT","AHMEDABAD RURAL","72"
"2002","GUJARAT","PALANPUR","71"
"2001","MADHYA PRADESH","UJJAIN","38"
"2005","A & N ISLANDS","NICOBAR","0"
"2002","GUJARAT","KHEDA NORTH","66"
"2002","GUJARAT","BHARUCH","65"
"2006","A & N ISLANDS","ANDAMAN","9"
"2010","PUNJAB","SANGRUR","8"
"2010","PUNJAB","BHATINDA","7"
"2010","PUNJAB","KAPURTHALA","7"
"2010","PUNJAB","FEROZPUR","7"
"2010","PUNJAB","FEROZPUR","7"
"2010","PUNJAB","BATALA","6"
"2010","PUNJAB","AMRITSAR RURAL","6"
"2010","PUNJAB","CP LUDHIANA","6"
"2010","PUNJAB","CP JALANDHAR","6"
